stocks_Symbol,stocks_name,stocks_price,stocks_price_change,stocks_percent_change,stocks_volume,stocks_market_cap
CVNA,Carvana Co. (CVNA),19.07,-5.16,(-21.30%),"99,071,487",3.387B
CHPT,"ChargePoint Holdings, Inc. (CHPT)",8.34,-1.27,(-13.22%),"33,583,367",3.345B
COIHY,Croda International Plc (COIHY),33.08,-4.89,(-12.88%),"22,979",9.436B
DISH,DISH Network Corporation (DISH),6.55,-0.88,(-11.84%),"21,421,987",3.489B
AFRM,"Affirm Holdings, Inc. (AFRM)",17.39,-1.46,(-7.75%),"27,815,506",5.142B
CVAC,CureVac N.V. (CVAC),9.71,-0.79,(-7.52%),"497,559",2.174B
QS,QuantumScape Corporation (QS),6.3,-0.51,(-7.49%),"9,808,775",2.795B
MTN,"Vail Resorts, Inc. (MTN)",239.66,-18.38,(-7.12%),"1,336,661",10.333B
MCOIF,MultiChoice Group Limited (MCOIF),5.080211,-0.37,(-6.79%),"91,420",2.162B
MEDP,"Medpace Holdings, Inc. (MEDP)",207.86,-13.83,(-6.24%),"383,667",6.34B
NVCR,NovoCure Limited (NVCR),42.76,-2.74,(-6.02%),"4,005,900",4.691B
PATH,UiPath Inc. (PATH),17.17,-1.10,(-6.02%),"16,999,347",10.263B
SNMRF,Snam S.p.A. (SNMRF),5.34,-0.31,(-5.49%),"31,089",17.904B
VSAT,"Viasat, Inc. (VSAT)",43.5,-2.46,(-5.35%),"382,620",5.363B
TGTX,"TG Therapeutics, Inc. (TGTX)",27.46,-1.52,(-5.24%),"6,976,736",4.33B
NEO,"NeoGenomics, Inc. (NEO)",16.46,-0.90,(-5.18%),"488,732",2.225B
NVST,Envista Holdings Corporation (NVST),31.79,-1.66,(-4.96%),"1,967,453",5.204B
HKCVF,HK Electric Investments and HK Electric Investments Limited (HKCVF),0.6028,-0.0301,(-4.76%),"45,000",5.423B
RPRX,Royalty Pharma plc (RPRX),32.91,-1.62,(-4.69%),"3,387,716",14.768B
OLPX,"Olaplex Holdings, Inc. (OLPX)",3.55,-0.1700,(-4.57%),"2,148,680",2.323B
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc. (HASI)",24.45,-1.17,(-4.57%),"638,327",2.614B
SYIEY,Symrise AG (SYIEY),24.71,-1.18,(-4.56%),"41,637",14.332B
CGMBF,"China Minsheng Banking Corp., Ltd. (CGMBF)",0.4006,-0.0191,(-4.55%),"99,116",22.062B
TRNO,Terreno Realty Corporation (TRNO),58.6,-2.78,(-4.53%),"833,968",4.879B
YETI,"YETI Holdings, Inc. (YETI)",35.89,-1.70,(-4.52%),"962,243",3.11B
